OrderDate,TerritoryID,TotalRevenue,Average Profit Margin,OrderQty,UnitPrice,UnitPriceDiscount,TaxAmt,Freight,Average_Revenue_Per_User
2011-05-31,1,97305.5951,437.4984464787236,96.0,48231.2437,0.0,7784.4476079999995,2432.639873,13900.7993
2011-05-31,2,13846.9397,-128.2930041688688,35.0,12131.5067,0.0,1107.755176,346.173489,3461.734925
2011-05-31,3,19243.0643,174.89338263031738,40.0,13886.501199999999,0.0,1539.445144,481.076606,4810.766075
2011-05-31,4,69758.1839,-4072.2092142218507,209.0,23173.7255,0.0,5580.654712,1743.954593,9965.454842857143
2011-05-31,5,125376.6509,529.6878267616486,126.0,60322.7235,0.0,10030.132072,3134.416266,13930.738988888888
2011-05-31,6,109829.9977,-1510.6320620470358,227.0,46883.153099999996,0.0,8786.399816,2745.749936,13728.7497125
2011-05-31,7,3399.99,77.80938610396734,1.0,3399.99,0.0,271.9992,84.99975,3399.99
2011-05-31,9,3399.99,77.80938610396734,1.0,3399.99,0.0,271.9992,84.99975,3399.99
2011-06-01,4,3578.27,64.7989480191123,1.0,3578.27,0.0,286.2616,89.45675,3578.27
2011-06-01,9,10353.25,220.41772021051554,3.0,10353.25,0.0,828.26,258.83125,3451.0833333333335
2011-06-02,4,7156.54,129.5978960382246,2.0,7156.54,0.0,572.5232,178.9135,3578.27
2011-06-02,9,7156.54,129.5978960382246,2.0,7156.54,0.0,572.5232,178.9135,3578.27
2011-06-02,10,699.0982,43.63852883852408,1.0,699.0982,0.0,55.927856,17.477455,699.0982
2011-06-03,1,3578.27,64.7989480191123,1.0,3578.27,0.0,286.2616,89.45675,3578.27
2011-06-03,8,3578.27,64.7989480191123,1.0,3578.27,0.0,286.2616,89.45675,3578.27
2011-06-04,4,3578.27,64.7989480191123,1.0,3578.27,0.0,286.2616,89.45675,3578.27
2011-06-04,9,7855.6382,173.23642487674869,3.0,7855.6382,0.0,628.451056,196.390955,2618.546066666667
2011-06-04,10,3578.27,64.7989480191123,1.0,3578.27,0.0,286.2616,89.45675,3578.27
2011-06-05,1,3578.27,64.7989480191123,1.0,3578.27,0.0,286.2616,89.45675,3578.27
2011-06-05,4,3578.27,64.7989480191123,1.0,3578.27,0.0,286.2616,89.45675,3578.27
