OrderDate,SalesAmount,Average Profit Margin,OrderQty,UnitPrice,UnitPriceDiscount,TaxAmt,Freight,Average_Revenue_Per_User
2011-05-31,442160.4116,-4413.435852359131,735.0,211428.8337,0.0,35372.832927999996,11054.010263,10784.400282926828
2011-06-01,13931.52,285.2166682296278,4.0,13931.52,0.0,1114.5216,348.288,3482.88
2011-06-02,15012.1782,302.8343209149733,5.0,15012.1782,0.0,1200.974256,375.30445499999996,3002.43564
2011-06-03,7156.54,129.5978960382246,2.0,7156.54,0.0,572.5232,178.9135,3578.27
2011-06-04,15012.1782,302.8343209149733,5.0,15012.1782,0.0,1200.974256,375.304455,3002.43564
2011-06-05,14313.08,259.1957920764492,4.0,14313.08,0.0,1145.0464,357.827,3578.27
2011-06-06,7855.638199999999,173.23642487674869,3.0,7855.638199999999,0.0,628.451056,196.390955,2618.5460666666663
2011-06-07,7855.638199999999,173.23642487674869,3.0,7855.638199999999,0.0,628.451056,196.390955,2618.5460666666663
2011-06-08,20909.78,427.8250023527075,6.0,20909.78,0.0,1672.7823999999998,522.7445,3484.963333333333
2011-06-09,10556.529999999999,207.40728214219195,3.0,10556.529999999999,0.0,844.5224,263.91325,3518.843333333333
2011-06-10,14313.08,259.1957920764492,4.0,14313.08,0.0,1145.0464,357.827,3578.27
2011-06-11,14134.8,272.20623016130423,4.0,14134.8,0.0,1130.7839999999999,353.37,3533.7
2011-06-12,7156.54,129.5978960382246,2.0,7156.54,0.0,572.5232,178.9135,3578.27
2011-06-13,25047.89,453.59263613378613,7.0,25047.89,0.0,2003.8311999999999,626.1972499999999,3578.27
2011-06-14,11230.6282,251.04581096418457,4.0,11230.6282,0.0,898.450256,280.765705,2807.65705
2011-06-15,14313.08,259.1957920764492,4.0,14313.08,0.0,1145.0464,357.827,3578.27
2011-06-16,14134.8,272.20623016130423,4.0,14134.8,0.0,1130.7839999999999,353.37,3533.7
2011-06-17,6953.26,142.6083341065482,2.0,6953.26,0.0,556.2608,173.8315,3476.63
2011-06-18,25568.7082,510.2416030571652,8.0,25568.7082,0.0,2045.4966559999998,639.217705,3196.088525
2011-06-19,11255.6282,251.04581098071603,4.0,11255.6282,0.0,900.450256,281.390705,2813.90705
2011-06-20,14313.08,259.1957920764492,4.0,14313.08,0.0,1145.0464,357.827,3578.27
2011-06-21,38241.29,790.8510566863026,11.0,38241.29,0.0,3059.3032,956.03225,3476.4809090909093
2011-06-22,15012.1782,302.8343209149733,5.0,15012.1782,0.0,1200.974256,375.30445499999996,3002.43564
2011-06-23,10734.81,194.39684405733692,3.0,10734.81,0.0,858.7847999999999,268.37025,3578.27
2011-06-24,11433.9082,238.03537289586097,4.0,11433.9082,0.0,914.7126559999999,285.847705,2858.47705
2011-06-25,17534.79,350.0156162652716,5.0,17534.79,0.0,1402.7831999999999,438.36975,3506.958
2011-06-26,28041.32,557.4228983744007,8.0,28041.32,0.0,2243.3055999999997,701.033,3505.165
2011-06-27,19785.3646,467.92076467945736,8.0,19785.3646,0.0,1582.829168,494.634115,2473.170575
2011-06-28,17688.07,337.0051781638851,5.0,17688.07,0.0,1415.0456,442.20175,3537.614
2011-06-29,14402.338199999998,341.86563511994405,5.0,14402.338199999998,0.0,1152.187056,360.058455,2880.46764
2011-06-30,15012.1782,302.8343209149733,5.0,15012.1782,0.0,1200.974256,375.30445499999996,3002.43564
2011-07-01,1556299.662138,1534.1620636868001,2058.0,613655.7685,0.27,124503.972968,38907.491466,19453.745776724998
2011-07-02,10734.81,194.39684405733692,3.0,10734.81,0.0,858.7847999999999,268.37025,3578.27
2011-07-03,11230.6282,251.04581096418457,4.0,11230.6282,0.0,898.450256,280.765705,2807.65705
2011-07-04,17534.79,350.0156162652716,5.0,17534.79,0.0,1402.7831999999999,438.36975,3506.958
2011-07-05,15711.2764,346.47284975349737,6.0,15711.2764,0.0,1256.902112,392.78191,2618.546066666667
2011-07-06,25390.4282,523.2520411420203,8.0,25390.4282,0.0,2031.234256,634.760705,3173.803525
2011-07-07,14313.08,259.1957920764492,4.0,14313.08,0.0,1145.0464,357.827,3578.27
2011-07-08,11255.6282,251.04581098071603,4.0,11255.6282,0.0,900.450256,281.390705,2813.90705
2011-07-09,13906.52,285.2166682130964,4.0,13906.52,0.0,1112.5216,347.663,3476.63
2011-07-10,21088.059999999998,414.81456426785246,6.0,21088.059999999998,0.0,1687.0448,527.2015,3514.6766666666663
2011-07-11,17891.35,323.9947400955615,5.0,17891.35,0.0,1431.308,447.28375,3578.2699999999995
2011-07-12,21469.62,388.79368811467384,6.0,21469.62,0.0,1717.5695999999998,536.7405,3578.27
2011-07-13,11929.7264,294.6843398027087,5.0,11929.7264,0.0,954.378112,298.24316,2385.94528
2011-07-14,14313.08,259.1957920764492,4.0,14313.08,0.0,1145.0464,357.827,3578.27
2011-07-15,21113.059999999998,414.8145642843839,6.0,21113.059999999998,0.0,1689.0448,527.8265,3518.843333333333
2011-07-17,3578.27,64.7989480191123,1.0,3578.27,0.0,286.2616,89.45675,3578.27
2011-07-18,21266.34,401.8041261829974,6.0,21266.34,0.0,1701.3072,531.6585,3544.39
2011-07-19,17109.4728,433.74990743054553,8.0,17109.4728,0.0,1368.757824,427.73682,2138.6841
2011-07-20,21266.34,401.8041261829974,6.0,21266.34,0.0,1701.3072,531.6585,3544.39
2011-07-21,28016.32,557.4228983578691,8.0,28016.32,0.0,2241.3055999999997,700.408,3502.04
2011-07-22,17688.07,337.0051781638851,5.0,17688.07,0.0,1415.0456,442.20175,3537.614
2011-07-23,10531.529999999999,207.40728212566052,3.0,10531.529999999999,0.0,842.5224,263.28825,3510.5099999999998
2011-07-24,28968.6982,588.0509891611325,9.0,28968.6982,0.0,2317.495856,724.217455,3218.744244444444
2011-07-25,7652.3582,186.24686294507228,3.0,7652.3582,0.0,612.188656,191.308955,2550.7860666666666
2011-07-26,24691.329999999998,479.6135123034962,7.0,24691.329999999998,0.0,1975.3064,617.28325,3527.332857142857
2011-07-27,7156.54,129.5978960382246,2.0,7156.54,0.0,572.5232,178.9135,3578.27
2011-07-28,7156.54,129.5978960382246,2.0,7156.54,0.0,572.5232,178.9135,3578.27
2011-07-29,19785.3646,467.92076467945736,8.0,19785.3646,0.0,1582.829168,494.634115,2473.170575
2011-07-30,24691.329999999998,479.6135123034962,7.0,24691.329999999998,0.0,1975.3064,617.28325,3527.332857142857
2011-07-31,20859.78,427.82500231964457,6.0,20859.78,0.0,1668.7823999999998,521.4945,3476.6299999999997
